stop,C
Opening,+yaw orientation
Closing,+yaw orientation
No contact,+yaw orientation
Opening,+yaw orientation
Closing,+yaw orientation
Opening,+yaw orientation
Contact,+yaw orientation
No contact,+yaw orientation
Contact,+yaw orientation
Closing,+yaw orientation
Opening,+yaw orientation
No contact,+yaw orientation
Closing,+yaw orientation
Contact,+yaw orientation
Opening,+yaw orientation
No contact,+yaw orientation
Closing,+yaw orientation
Contact,+yaw orientation
No contact,+yaw orientation
Opening,+yaw orientation
Contact,+yaw orientation
Closing,+yaw orientation
No contact,+yaw orientation
Opening,+yaw orientation
Closing,+yaw orientation
Contact,+yaw orientation
Opening,+yaw orientation
No contact,+yaw orientation
Closing,+yaw orientation
Contact,+yaw orientation
Opening,+yaw orientation
No contact,+yaw orientation
